;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
8208;femenino;comercio;granero;cabecera san antonio;3.0;;2017-02-14;5000000.0;microempresarial
8209;masculino;servicio;barberia;robledo;1.0;7.0;2018-06-01;7800000.0;microempresarial
8210;femenino;industria;carpinteria;belalcazar;2.0;5.0;2019-01-25;7300000.0;microempresarial
8211;femenino;industria;fabrica de;villatina;1.0;8.0;2019-02-27;6000000.0;microempresarial
8212;femenino;servicio;peluqueria;20 de julio;2.0;13.0;2016-11-16;3500000.0;microempresarial
8213;masculino;comercio;tienda de helados;san javier no.1;3.0;13.0;2017-04-19;7000000.0;microempresarial
8214;masculino;industria;fabrica de;santo domingo savio;2.0;1.0;2016-03-10;6890000.0;microempresarial
8215;femenino;industria;fabrica de;doce de octubre no.1;2.0;6.0;2016-12-30;6000000.0;microempresarial
8216;masculino;servicio;lavadero de;robledo;2.0;7.0;2018-10-03;7800000.0;microempresarial
8217;femenino;comercio;comidas rapidas;manrique oriental;2.0;3.0;2018-05-25;782000.0;microempresarial
8218;femenino;comercio;comidas rapidas;robledo;3.0;7.0;2018-10-03;2000000.0;microempresarial
8219;femenino;industria;fabrica de;robledo;3.0;7.0;2016-11-09;6000000.0;microempresarial
8220;femenino;comercio;comidas rapidas;andalucia;2.0;2.0;2017-11-27;3000000.0;microempresarial
8221;femenino;industria;fabrica de;buenos aires;2.0;9.0;2017-06-12;7300000.0;microempresarial
8222;femenino;industria;variedades;santa cruz;2.0;2.0;2017-02-03;6000000.0;microempresarial
8223;femenino;comercio;variedades;las brisas;3.0;5.0;2019-02-11;8281000.0;microempresarial
8224;femenino;comercio;restaurante;moravia;2.0;4.0;2018-09-05;7000000.0;microempresarial
8226;femenino;servicio;peluqueria;robledo;2.0;7.0;2018-10-03;7800000.0;microempresarial
8227;masculino;comercio;variedades;la floresta;2.0;12.0;2018-10-26;5000000.0;microempresarial
8228;masculino;servicio;mantenimiento en;manrique oriental;2.0;3.0;2018-08-06;7000000.0;microempresarial
8229;femenino;servicio;comidas rapidas;kennedy;2.0;6.0;2017-02-23;5000000.0;microempresarial
8230;femenino;servicio;peluqueria;san javier no.1;1.0;13.0;2017-09-12;7300000.0;microempresarial
8231;femenino;comercio;tienda;manrique central no. 2;1.0;3.0;2016-03-30;6000000.0;microempresarial
8232;masculino;comercio;variedades;el pesebre;1.0;13.0;2017-08-28;7000000.0;microempresarial
8233;masculino;comercio;tienda;la libertad;2.0;8.0;2018-06-27;7800000.0;microempresarial
8234;masculino;servicio;cafe e internet;alfonso lopez;3.0;5.0;2016-02-20;6000000.0;microempresarial
8235;masculino;comercio;variedades;enciso;2.0;8.0;2016-09-27;6800000.0;microempresarial
8236;femenino;servicio;barberia;popular;2.0;1.0;2018-05-30;7000000.0;microempresarial
8237;masculino;industria;fabrica de;campo valdes no. 1;3.0;4.0;2017-01-19;4000000.0;microempresarial
8238;femenino;comercio;almacen de ropa en;moravia;1.0;4.0;2018-04-17;5000000.0;microempresarial
8239;femenino;comercio;comidas rapidas;cabecera san cristobal;2.0;;2018-11-22;1000000.0;microempresarial
8241;femenino;servicio;tienda;buenos aires;3.0;9.0;2017-10-03;6251000.0;microempresarial
8242;femenino;comercio;almacen de ropa en;santo domingo savio;1.0;1.0;2017-04-06;2000000.0;microempresarial
8243;masculino;comercio;variedades;robledo;2.0;7.0;2017-04-19;6000000.0;microempresarial
8244;masculino;servicio;publicidad y;robledo;2.0;7.0;2018-02-22;19000000.0;empresarial ed.
8245;femenino;agropecuaria;sembrados;cabecera san cristobal;2.0;;2017-09-01;14000000.0;agropecuaria
8246;masculino;comercio;restaurante;manrique oriental;1.0;3.0;2017-07-13;7370000.0;microempresarial
8247;femenino;comercio;variedades;calasanz;2.0;12.0;2018-11-08;3000000.0;microempresarial
